MODEL;MODEL_DESCRIPTION;FORECAST_HORIZON;PAST_HISTORY;BATCH_SIZE;EPOCHS;mse;rmse;nrmse;mae;wape;mpe;mape;mdape;smape;smdape;mase;rmspe;rmsse;mre;rae;mrae;std_ae;std_ape;val_mse;val_rmse;val_nrmse;val_mae;val_wape;val_mpe;val_mape;val_mdape;val_smape;val_smdape;val_mase;val_rmspe;val_rmsse;val_mre;val_rae;val_mrae;val_std_ae;val_std_ape;loss;val_loss;Execution_time;Device
TCN_49;{'nb_filters': 32, 'kernel_size': 2, 'nb_stacks': 3, 'dilations': [1, 5, 7, 14, 28], 'dropout_rate': 0};48;168;64;25;1570.2758;39.626705;0.23646864;25.612476;0.73223805;-70261960;89520090;0.6580734;88.3895874023438;0.79396033;1.5590717;5215662000;2.4121397;5.103603;1.0286577344149;35.026424;250.060179597616;36157922018.478;961.7065;31.011393;0.17883897;17.89148;0.6307321;-354435800;356453820;0.51906884;68.3626770973206;0.57193625;1.3786966;7741422600;2.3897016;6.424039;0.892987501433182;31.836588;205.001568756164;53819595292.3415;[85.88015238444011, 5.1335875373004605, 2.589557201196785, 1.7378445410194892, 1.3423164126729796, 1.1132958628965632, 0.9702772361229671, 0.8746047470679131, 0.8084361912645356, 0.7585893909417277, 0.7217185122385463, 0.6940694861333417, 0.6727127122513958, 0.6566956124682027, 0.6430267273186233, 0.6317640246715928, 0.622874360272685, 0.6148311756244116, 0.6079349901145423, 0.6019486483752516, 0.5965674680309947, 0.591507578977286, 0.5872709347446339, 0.5834670983720023, 0.5797900651593652];[10.080386455928053, 4.1851741621427445, 2.565105895015681, 1.895102067528484, 1.540809379559811, 1.3099853569102065, 1.1618225786173455, 1.060077870003531, 0.984840246004479, 0.928974192833232, 0.8855523015851172, 0.8537748249891762, 0.8308348237911117, 0.8112198225805692, 0.7945115816927402, 0.7806658755953066, 0.7728373374894401, 0.7606102941192199, 0.7514255403358245, 0.743614541592999, 0.7354972323524618, 0.7309075137165105, 0.7268617158738252, 0.7213370270818193, 0.7149665461522396];62.5845901966095;[PhysicalDevice(name='/physical_device:GPU:0', device_type='GPU')]
TCN_101;{'nb_filters': 32, 'kernel_size': 3, 'nb_stacks': 1, 'dilations': [1, 5, 7, 14, 28, 56], 'dropout_rate': 0};48;168;64;25;592.7426;24.346306;0.1452843;16.416924;0.4693453;-68508830;68508830;0.45481223;61.484307050705;0.51211196;0.9993239;3267540700;1.4819978;4.5798573;0.659342531049222;26.356638;162.618638838355;22658799147.9342;234.82439;15.32398;0.088371545;10.415379;0.36717552;-238106400;238622900;0.36916578;49.7443079948425;0.39422727;0.8025969;5372549600;1.1808481;5.2887535;0.519845339840996;19.207983;114.515257199447;37342893742.7352;[1.3108817204850582, 0.5912648225982001, 0.5619106180395479, 0.5402742167945745, 0.517523853531715, 0.4939350518798379, 0.47247253977929465, 0.45464832117195264, 0.4387043170078062, 0.42445529167166307, 0.41062502055763495, 0.39880065621700667, 0.3862269810007093, 0.37880754516458903, 0.3709112541273991, 0.364611482346437, 0.3595494259021588, 0.3540956645466835, 0.3494327052181545, 0.3452696926602205, 0.34086678608005827, 0.33778156296243655, 0.3338775812737091, 0.33164500937445, 0.3286597018247499];[0.7327176722410683, 0.6905707956474518, 0.6740603402396229, 0.6515505854214463, 0.6246458726508595, 0.599057476654231, 0.5749540451531098, 0.5545144718941127, 0.5397564178315278, 0.522182327843158, 0.5012894194816875, 0.49071254407134013, 0.4808154741180277, 0.46939129138661323, 0.46530296618693345, 0.4528337900883683, 0.44991120389688793, 0.4449658572116745, 0.4388227125751638, 0.43406667915460106, 0.4316802448201402, 0.42586782574653625, 0.4264441675671907, 0.415680060041285, 0.4161444300803069];30.7342774868011;[PhysicalDevice(name='/physical_device:GPU:0', device_type='GPU')]
TCN_117;{'nb_filters': 32, 'kernel_size': 3, 'nb_stacks': 2, 'dilations': [1, 5, 7, 14, 28], 'dropout_rate': 0};48;168;64;25;1017.4043;31.896776;0.19034103;20.527897;0.5868744;-66942650;67135500;0.5385641;70.5225944519043;0.62929684;1.2495654;3516897500;1.9416069;4.0434084;0.824448983423613;30.293974;204.61655285352;24385189570.8379;534.6492;23.122482;0.13334456;14.056922;0.49555162;-256013860;259189580;0.447488;58.3290994167328;0.48986584;1.08321;5926348000;1.7817916;5.992416;0.701599614077628;27.253448;158.803677480154;41187693023.4606;[10.848592901398352, 1.108784721653088, 0.7834307531024317, 0.6809336330359901, 0.6349534512408631, 0.6109622912075551, 0.5970144570224838, 0.5869074230059297, 0.5791188995183848, 0.5718012899335899, 0.5648825342719771, 0.5585583032792252, 0.5524162953396989, 0.5456193658853448, 0.5381291697527972, 0.5300981502791317, 0.5206452891739575, 0.5106972503016217, 0.5001391335988353, 0.4897955168824033, 0.47969642383330563, 0.47115258305597923, 0.4629925444494007, 0.4565295747649122, 0.45005477232983593];[1.8832770385474802, 1.090607543972051, 0.886604568668615, 0.794822712924993, 0.7579380223684222, 0.7389661614025864, 0.7267309744781423, 0.7184559730725868, 0.7111678474417357, 0.7036182729997368, 0.6963768122352172, 0.689531002089242, 0.6825467777029376, 0.6763620036784733, 0.6674306921869795, 0.6590416665389159, 0.6480721965014378, 0.6394771471201817, 0.6240459630422504, 0.6104764144554317, 0.5985522231208944, 0.5874154628994309, 0.5781667112747085, 0.5689536252311457, 0.5615154671891828];42.8245289325714;[PhysicalDevice(name='/physical_device:GPU:0', device_type='GPU')]
TCN_150;{'nb_filters': 32, 'kernel_size': 3, 'nb_stacks': 4, 'dilations': [1, 5, 7, 14], 'dropout_rate': 0};48;168;64;25;1599.8984;39.99873;0.23868866;26.400805;0.75477564;-54490704;79532340;0.7037056;94.3782448768616;0.86558616;1.6070584;4516031000;2.4347856;8.763855;1.0603188467768;37.323967;252.522072872442;31307340088.2205;999.8782;31.62085;0.18235363;19.229246;0.6778927;-354761250;367185280;0.5963315;78.2451093196869;0.6677934;1.4817833;8512425500;2.4366658;5.9890513;0.959757164080434;34.692463;210.992290093437;59153833085.6962;[143.90418310131707, 6.961395150781099, 3.753565463637856, 2.6276928547273957, 2.048467554950602, 1.6919490628304275, 1.4519357142094589, 1.282472031697789, 1.158055769681088, 1.059718879148171, 0.984149242177588, 0.9207957015582333, 0.8680597781011719, 0.8243008074827834, 0.788555493203153, 0.7588288108648203, 0.7332430828024838, 0.7115875736703862, 0.6929156423597931, 0.6762701573444901, 0.6624294602267172, 0.6501306642211088, 0.6398219765285721, 0.6304396909033031, 0.6222613224292391];[14.305950200446299, 5.956979925387373, 3.897857570202551, 2.9395771806485187, 2.3762138469196925, 2.0139270942901897, 1.7559397811087492, 1.5563115594543029, 1.4065114560528336, 1.2920814251231256, 1.2042514041205432, 1.127249452555291, 1.0690799578327999, 1.0153637506137385, 0.9707405199514372, 0.9360235210891082, 0.9051848460580701, 0.877876525727388, 0.8557096352087004, 0.8362995569951066, 0.8172292213573634, 0.8035235009460806, 0.7893823167988073, 0.7789935046267287, 0.7684296130019928];63.2368340492249;[PhysicalDevice(name='/physical_device:GPU:0', device_type='GPU')]
TCN_218;{'nb_filters': 32, 'kernel_size': 4, 'nb_stacks': 3, 'dilations': [1, 5, 7, 14], 'dropout_rate': 0};48;168;64;25;1233.816;35.125717;0.20960942;22.303078;0.6376253;-79979830;80846030;0.5811753;76.7097353935242;0.69028074;1.3576233;4132949800;2.1381578;5.689487;0.895744425253367;31.70763;221.046286041129;28657422963.7589;724.4095;26.914856;0.15521473;15.851827;0.55882776;-271221630;274646140;0.48514524;63.9481782913208;0.5390316;1.2215233;6225610000;2.0740275;5.124824;0.791185686719831;26.3761;178.172102535907;43269670055.617;[18.356537385879893, 1.3841889050599403, 0.9248513797708339, 0.7728590737804507, 0.7004209820036332, 0.6608587207867204, 0.6349521756031768, 0.6177436338717862, 0.6050183325128364, 0.595307474844026, 0.58752666696362, 0.5812126685227887, 0.5754029068424508, 0.5707736679465807, 0.5658080641737535, 0.5612483313844678, 0.5562938743822706, 0.5513392356877052, 0.5463643252358139, 0.5409173625658482, 0.5352426709078507, 0.5292559245028681, 0.5229583442281357, 0.5163168792028169, 0.5095360443364605];[2.4132739673151034, 1.3146199299910357, 1.023118498726426, 0.897628848797807, 0.8347903612618134, 0.7965991563886126, 0.7726521614556, 0.7543877184948075, 0.7411538145252478, 0.7317841749324977, 0.7231876281934364, 0.7160397617616386, 0.7103707294597804, 0.704654765463321, 0.6991799161812969, 0.6936509820902459, 0.6883742140832348, 0.6822444818844305, 0.676754746481637, 0.6701245909539338, 0.6631164695614966, 0.6569414846250944, 0.6478772163391113, 0.6407475944991424, 0.6333153609917542];49.9458298683167;[PhysicalDevice(name='/physical_device:GPU:0', device_type='GPU')]
TCN_355;{'nb_filters': 32, 'kernel_size': 6, 'nb_stacks': 1, 'dilations': [1, 5, 7, 14, 28], 'dropout_rate': 0};48;168;64;25;540.6178;23.251188;0.13874929;15.7717495;0.45090035;-80440430;80440430;0.43733662;59.0245366096497;0.48434633;0.9600512;3731790600;1.4153364;8.337245;0.633430848695529;31.17363;162.626273621219;25879113987.2837;198.99696;14.106628;0.08135123;9.71357;0.34243453;-226474990;228262640;0.35217208;48.3167052268982;0.36967415;0.7485163;5226226000;1.0870403;5.0984282;0.484817151895337;20.052197;110.262677190519;36321932538.7443;[0.7864389693357919, 0.5485024688100646, 0.49624061556390375, 0.4507202665432322, 0.4180022505132835, 0.3920490414220116, 0.37552834016976283, 0.3609783516755795, 0.35245500127614876, 0.3427747348312495, 0.33816491865999426, 0.33242349201995436, 0.3261985790743564, 0.32247328498478633, 0.3176729938166723, 0.3141420786175767, 0.3109833328546989, 0.30859591900530076, 0.3048636036430287, 0.3034760521634869, 0.30097607757514444, 0.2995439538615893, 0.2973709049227662, 0.2935188045841505, 0.2921626056040976];[0.6856789861884073, 0.6470681635018821, 0.5900982027855989, 0.5406939832963676, 0.5038010402817592, 0.47918620566341363, 0.4680089635826717, 0.45409406289876064, 0.4470823579859511, 0.43228408025803966, 0.4329917361246091, 0.4191954464555901, 0.4181626581142996, 0.41394934169599945, 0.4109549770288378, 0.4050105746104338, 0.4038454542093188, 0.40225115836223707, 0.39857338800608555, 0.4028201961071692, 0.39307220990412706, 0.39178293414205034, 0.39885151692640003, 0.40418851236316644, 0.3881165906090603];28.2625939846039;[PhysicalDevice(name='/physical_device:GPU:0', device_type='GPU')]
TCN_371;{'nb_filters': 32, 'kernel_size': 6, 'nb_stacks': 2, 'dilations': [1, 5, 7, 14], 'dropout_rate': 0};48;168;64;25;704.6952;26.546095;0.15841132;17.437653;0.49852705;-91040180;91040180;0.46514326;62.3557209968567;0.521122;1.0614573;4410176000;1.6159025;6.6568384;0.700337469169198;29.764097;177.57625394982;30581798617.9324;304.92062;17.461977;0.100701116;11.3011055;0.39840025;-260074270;261381220;0.38184893;51.6405165195465;0.40882188;0.87085;5934268400;1.3455997;6.136237;0.564053134765458;22.291761;125.263726488193;41244988093.5934;[2.6136573109385264, 0.6367041540932178, 0.5945888322430308, 0.5746258537957469, 0.5606350132798419, 0.5475407682964742, 0.5338956963959796, 0.5188490554637707, 0.5029256481444737, 0.4875609787670266, 0.47113590309280107, 0.4572757410216809, 0.44453993028970995, 0.4321296105536471, 0.4209863127190598, 0.41024023526127684, 0.3983972639512398, 0.39000492234954565, 0.3810761503181974, 0.3736216345510157, 0.36705598845919957, 0.36197170678381363, 0.3562709929243836, 0.3523026303211567, 0.3484881952036396];[0.7958545985622941, 0.7229131393343489, 0.7019739123148339, 0.6915198497683088, 0.6818721433666265, 0.6686801409052912, 0.654432530158034, 0.6375517795019061, 0.6207428084355648, 0.6014910025574337, 0.5817628229889914, 0.5682853270913953, 0.5533073201914814, 0.540531792651827, 0.526353285412922, 0.5159886434813526, 0.4984024465084076, 0.4890710006807452, 0.48592035458466715, 0.47398340479235784, 0.46423975747322366, 0.4609097103092158, 0.4567915454646137, 0.44948566071340973, 0.45163204068335416];35.2403924465179;[PhysicalDevice(name='/physical_device:GPU:0', device_type='GPU')]
TCN_404;{'nb_filters': 32, 'kernel_size': 6, 'nb_stacks': 4, 'dilations': [1, 5, 7], 'dropout_rate': 0};48;168;64;25;1236.0845;35.157993;0.20980203;22.12578;0.63255644;-72277680;72650984;0.5695459;74.7383892536163;0.6780057;1.346831;3583831300;2.1401224;5.288908;0.888623728124412;30.65835;218.55834662386;24850999199.5102;689.94446;26.266794;0.15147744;15.399991;0.54289913;-261689920;262741260;0.47284386;62.297385931015;0.5307466;1.1867054;5815308300;2.0240886;6.5451527;0.7686339579974;26.83009;172.489130092305;40424345381.4459;[11.915804285042698, 0.9554261250686871, 0.730692236738014, 0.6593981113534935, 0.6270667445112033, 0.6091326788962941, 0.5980039172234327, 0.5899617893816586, 0.5837899342582982, 0.5784175782799019, 0.5739121118338847, 0.5694562477554393, 0.5646616478831243, 0.5598880659143832, 0.5549990025088981, 0.5499396890717766, 0.5443822997759312, 0.5384366162674166, 0.5324173846991801, 0.525768103742768, 0.5191431793223, 0.5122513211517649, 0.5046028686496479, 0.4972953647550621, 0.48994574754622855];[1.5082995033709803, 0.9703883216759869, 0.8348970424349063, 0.7822192467261697, 0.7567967204290016, 0.7433445347803775, 0.7347171963932358, 0.7276585196780267, 0.7216330014656638, 0.7172688797255543, 0.7122974640855165, 0.707819690771192, 0.7029274952745883, 0.6971090926188175, 0.6917976341514944, 0.6864965920136353, 0.6802977596487955, 0.6731798130775166, 0.6663127374426226, 0.6580973629639527, 0.6501135736982399, 0.6423893470630467, 0.6325717145037428, 0.6238765282051586, 0.6152414779796779];49.7333657741547;[PhysicalDevice(name='/physical_device:GPU:0', device_type='GPU')]
TCN_474;{'nb_filters': 64, 'kernel_size': 2, 'nb_stacks': 3, 'dilations': [1, 5, 7, 14, 28], 'dropout_rate': 0};48;168;64;25;1228.0275;35.043224;0.20911716;23.214634;0.66368586;-47139610;69524510;0.62210315;83.9387655258179;0.74384016;1.4131112;3761707000;2.133136;4.3230453;0.932354742398989;33.076714;225.936506284229;26078905691.6517;673.7428;25.956556;0.14968833;15.962396;0.56272566;-307024830;314149540;0.50918245;67.6642179489136;0.5599273;1.2300436;7057787000;2.0001817;7.3751836;0.796704352238325;31.208984;177.759834286168;49055085480.3557;[81.44633151055505, 3.4855716102114838, 1.8105913105786058, 1.270934655332172, 1.0175991583488293, 0.8795609347109801, 0.7916510326983089, 0.7348092364759411, 0.6933571665390922, 0.6624704728558993, 0.6396454480708137, 0.6204966359340681, 0.6044664578106435, 0.5920373408477073, 0.5799637394743337, 0.5698859566653716, 0.5607135990904414, 0.5522748253651586, 0.5448775629834376, 0.5379046205918275, 0.5313271953865834, 0.5249169670370077, 0.5184048120068436, 0.513003637288007, 0.5067824705189052];[6.830846684001316, 2.8753045385128986, 1.8655819458382152, 1.4543502609306407, 1.1993379258663854, 1.058000633649737, 0.969089670716045, 0.8992041956598513, 0.8545707207973873, 0.8143100292883186, 0.790553736352475, 0.7629436237789761, 0.7442083910246876, 0.7303172823424652, 0.71902525369252, 0.7104638915195644, 0.6959048058385047, 0.6846793500062461, 0.6750979635202996, 0.6678574887391563, 0.6600478926551676, 0.6514296893761536, 0.6448306836814524, 0.6359082360133946, 0.6377236358473234];72.9049835205078;[PhysicalDevice(name='/physical_device:GPU:0', device_type='GPU')]
TCN_526;{'nb_filters': 64, 'kernel_size': 3, 'nb_stacks': 1, 'dilations': [1, 5, 7, 14, 28, 56], 'dropout_rate': 0};48;168;64;25;515.94794;22.714487;0.13554657;15.382713;0.43977815;-73116250;73116250;0.43318534;59.4137072563171;0.48171228;0.93636996;3556512500;1.3826666;6.741314;0.617806216228931;28.835482;156.683790309194;24662049582.7106;189.52524;13.766816;0.07939157;9.571311;0.33741945;-220272400;221317180;0.35555476;49.3681371212006;0.37359673;0.7375541;4954382300;1.0608548;3.917599;0.477716802320901;17.641436;106.563223756027;34437335213.7619;[1.0722622381363094, 0.531300427214417, 0.4827594623689236, 0.44569712140113643, 0.4213003726814324, 0.4027770387691098, 0.39021681910830475, 0.37935297027914766, 0.36917901551625193, 0.35960722650599847, 0.350729341150313, 0.3430800816336004, 0.33691010360021334, 0.33126692412458403, 0.3263064141267882, 0.32178342103677304, 0.3175678411838725, 0.31382377486066065, 0.3099256346728411, 0.30632872066874106, 0.30323648357981087, 0.30213122921079855, 0.29757224242734964, 0.29495415123107155, 0.2920845379467145];[0.6740210273555506, 0.6203088470708544, 0.5720322772721264, 0.5362883313236949, 0.5093160781347863, 0.49086464983280576, 0.482620945043653, 0.4623100540348303, 0.45143376054050766, 0.45115301458635065, 0.43727802506117064, 0.4343610224879791, 0.42001516239665376, 0.4155067603721797, 0.42354524609084443, 0.40588325679859266, 0.40286557557426883, 0.40041915000042066, 0.3941888182519752, 0.40381568336041174, 0.38893812421326324, 0.3850736907709425, 0.39059233191971465, 0.38400923286642985, 0.3824329437496506];38.5836799144745;[PhysicalDevice(name='/physical_device:GPU:0', device_type='GPU')]
