MODEL;MODEL_DESCRIPTION;FORECAST_HORIZON;PAST_HISTORY;BATCH_SIZE;EPOCHS;mape;wape;mre;val_mape;val_wape;val_mre;loss;val_loss;Execution_time;Device
LSTM_8;{'num_stack_layers': 3, 'units': 128, 'dropout': 0};24;144;64;50;0.010860946960747242;0.010858670808374882;-862670976.0;0.010860303416848183;0.010858948342502117;-860630976.0;[0.10481106746908063, 0.07398187731039077, 0.07195586085154106, 0.06770855216186865, 0.06594780911881523, 0.0639232139999814, 0.0625268636256416, 0.060645184214582266, 0.06685182244977263, 0.06285183906496351, 0.05893268184624062, 0.05828909586901947, 0.05666966676893493, 0.0575322338354423, 0.05448329528392715, 0.053377853881486845, 0.052772076467245126, 0.051562693961897575, 0.05061355921640931, 0.05131444729113277, 0.04943172003657908, 0.049650165053053065, 0.048342520690216634, 0.04791432541487989, 0.04739109162023044, 0.046655563244718416, 0.045927468656683415, 0.04541503248957166, 0.04477195142785373, 0.0443368283113108, 0.04373154773426079, 0.04379496820299364, 0.04366678538126016, 0.04339128550736692, 0.04258982738503345, 0.042250446148192386, 0.04162726425699528, 0.04207883976807265, 0.042804731625570185, 0.040645485469195775, 0.040742561505735415, 0.0397157111261186, 0.04004899778993042, 0.04111975119773611, 0.040177064082753004, 0.038985986949723106, 0.038883552252855565, 0.039017673722534556, 0.0385982577709908, 0.03777578538431717];[0.1827556629449378, 0.1726735365112353, 0.16943256667424345, 0.1694613714471055, 0.16546823694088764, 0.15755504301101717, 0.15423996061366635, 0.14544526463285057, 0.16630952100080898, 0.1452410932774179, 0.17190299299788625, 0.1369601829183562, 0.13106381794581645, 0.12816400057393162, 0.11964978261739949, 0.12045990190389012, 0.11508357111901231, 0.110436492854251, 0.1054100752448457, 0.10884023124705962, 0.10045981603929295, 0.09768742633816282, 0.09236859033440312, 0.09524563120751951, 0.09303362725112035, 0.09323245152978844, 0.09116377293410281, 0.08576113946875849, 0.08353865218770716, 0.08255474879318898, 0.08160109479866906, 0.08157124333005858, 0.08709039065465797, 0.07786598621570118, 0.07696521618755414, 0.07794935952887593, 0.0747788981155401, 0.07325411308945656, 0.07173742061298115, 0.07268868588953277, 0.07178227672069518, 0.0711874609914198, 0.0711883451354093, 0.07526270978712712, 0.07199015694676213, 0.0700024107455554, 0.06908961460733153, 0.06799070869372197, 0.07013484319411452, 0.06745215832004965];5174.800588846207;PhysicalDevice(name='/physical_device:GPU:0', device_type='GPU')
TCN_1216;{'nb_filters': 128, 'kernel_size': 6, 'nb_stacks': 2, 'dilations': [1, 3, 6, 12], 'dropout_rate': 0};24;144;256;50;0.01087966375052929;0.01072421483695507;-1962247808.0;0.010877017863094807;0.010722635313868523;-1957609856.0;[0.5961752471087913, 0.11414882302344645, 0.09391660158034826, 0.08468039889165994, 0.07818834678577259, 0.07398940973648561, 0.07087513358918301, 0.06803024365415815, 0.06527970305743155, 0.06342067584012015, 0.06173339279664762, 0.06098084926110381, 0.05922662097170574, 0.058707975365634095, 0.05784014081831315, 0.05685975372774153, 0.05626388840632774, 0.05506999769429643, 0.05496385836936618, 0.054336823689005345, 0.05368120316714934, 0.052832818252808784, 0.05289810607269014, 0.05162408090680763, 0.05158122497623164, 0.05092976855406091, 0.05059712292097983, 0.05019470566849736, 0.04985637058079829, 0.04957628312393816, 0.04933242584514813, 0.048704602042870505, 0.04850450971661141, 0.047968209476548083, 0.04788545208385295, 0.04753825329974431, 0.04712062641483663, 0.04677306267267777, 0.04655756235705579, 0.04617113063679266, 0.045568103219835183, 0.04529287325024215, 0.045164627397634154, 0.04488532711116307, 0.04475911515844823, 0.0443016329731993, 0.04391542360037935, 0.04376902110723854, 0.04368068269615289, 0.04307153126868703];[0.2008123721359667, 0.16190217668676676, 0.15455480529644794, 0.1406596536925043, 0.1391903669544202, 0.13291105116272273, 0.1224826261214523, 0.12102750804671912, 0.11284254349005994, 0.112188804521379, 0.1116641766171988, 0.10426093631721489, 0.10867258700268005, 0.10872597349243772, 0.10282744723906846, 0.09465652821674975, 0.09380598984549837, 0.09210538719479376, 0.09445433126517527, 0.08749966220716345, 0.08760778850920514, 0.08469766210414671, 0.08776874168307398, 0.08102416216020544, 0.0822489519753262, 0.07498554130996692, 0.07609772386655429, 0.0724913812240504, 0.07109210838511244, 0.08063236451348084, 0.07327712576113066, 0.07223877755610082, 0.07421336945978485, 0.07225135871693336, 0.07201778677939621, 0.074079764995234, 0.07354833297664785, 0.07244292180790782, 0.07066616205214707, 0.06897003850695485, 0.07114437060714515, 0.0696138645170377, 0.06890633720165752, 0.06909657258828149, 0.07054114659046579, 0.06716816851359818, 0.06954263702097169, 0.06692323528059091, 0.06787369602470657, 0.06658856576164729];9778.952023029327;PhysicalDevice(name='/physical_device:GPU:0', device_type='GPU')
LSTM_8;{'num_stack_layers': 3, 'units': 128, 'dropout': 0};24;168;64;50;0.010800275951623917;0.010775420814752579;-1635139712.0;0.010800314135849476;0.010776326060295105;-1630633344.0;[0.10685132975134601, 0.08121309994754508, 0.08092616255052057, 0.07101347051693217, 0.06638003218603995, 0.06519311545526298, 0.07066720113180106, 0.06456035235481726, 0.06225574839754072, 0.060439058390155634, 0.06305502039921708, 0.05869842334896691, 0.05719460640149346, 0.05810400383264306, 0.05608050813130588, 0.05510265100657324, 0.053546480435609035, 0.052384609534175994, 0.05193413035575617, 0.050224373457339086, 0.049680753853486956, 0.048524847209031496, 0.04788587396639626, 0.04779794781448696, 0.047466091727574496, 0.046819653046080816, 0.04648197519638693, 0.04543229892405048, 0.04476741501687681, 0.044282262215879394, 0.04393159074676799, 0.04330935411540083, 0.04298355021460877, 0.04318616367809829, 0.04229578362985946, 0.04194412069481751, 0.04144533794983077, 0.04080905475303244, 0.04046163897201157, 0.040058277584325966, 0.03978831772179236, 0.03930076473777006, 0.038870665027050055, 0.038244886907995795, 0.03820785884158464, 0.03780312646493156, 0.037632118757807864, 0.037108017261577954, 0.036657201732662924, 0.036308447625015894];[0.18716324183755478, 0.18354554125934155, 0.18969298631053938, 0.19589735475409628, 0.17053911138504807, 0.1698745619252884, 0.157725302712498, 0.15790507662458061, 0.15284806202576032, 0.14101415924681254, 0.15212772872166744, 0.13451965381089978, 0.13768942788289956, 0.1343143466949494, 0.12576653442436941, 0.12380865022991172, 0.11565545145694422, 0.10921829645687205, 0.10620979410217052, 0.10049416864823574, 0.09693099038446, 0.09360724537864731, 0.09104191006155439, 0.09409368304352982, 0.08519591258096047, 0.08338669557435466, 0.08304233027579329, 0.08107813009078418, 0.078237190140734, 0.07673045088554536, 0.07441401033271454, 0.0792089654852117, 0.07269734497102355, 0.07669082787160086, 0.0726231992641359, 0.0732525917166739, 0.0711056177245768, 0.06807420981974031, 0.06901560302450475, 0.07085933905125971, 0.07017320170726371, 0.06678251588487676, 0.06778135231359704, 0.06898460557610418, 0.06561965984146505, 0.06750140264280342, 0.07075685712398032, 0.0655703871143449, 0.06595076644688161, 0.06703162552606089];5959.714696407318;PhysicalDevice(name='/physical_device:GPU:0', device_type='GPU')
TCN_1221;{'nb_filters': 128, 'kernel_size': 6, 'nb_stacks': 2, 'dilations': [1, 5, 7, 14], 'dropout_rate': 0};24;168;128;50;0.010389872826635838;0.010303922928869724;-1700190336.0;0.010390093550086021;0.010304871015250683;-1695504896.0;[0.3374009353987646, 0.08494356839879255, 0.0742406382692758, 0.06805321754284924, 0.0634488361791628, 0.060756115634299356, 0.05829301984714013, 0.057167277497348026, 0.05553916580981893, 0.05472378409075732, 0.05399409026052769, 0.05343291469090469, 0.052482885309532316, 0.05202595183082753, 0.05154824338704916, 0.05062937185579714, 0.049951214229067266, 0.04964507646662844, 0.04937104714902674, 0.04899863332142609, 0.048603975634958795, 0.04832475038654147, 0.04773136930286886, 0.047527702153017715, 0.04708916819045229, 0.04683358105951354, 0.046535350283720314, 0.04634610664096492, 0.04589885077162816, 0.04541795427116367, 0.04537248294146047, 0.04495581931094022, 0.0443690532305912, 0.04425098922085487, 0.04411923121395436, 0.043796636280603235, 0.04365366821759207, 0.04343435033020261, 0.04289259717499247, 0.04265564525680404, 0.04272807957934043, 0.042210410371911096, 0.04192529032723057, 0.04184741487058688, 0.04164206759758137, 0.04142751989282857, 0.04096168245788458, 0.040858576788783914, 0.04045033136619988, 0.040422780123203925];[0.16378222825102867, 0.13612723451628814, 0.13538649927101454, 0.13629770370701907, 0.1231038286690921, 0.11538804467915244, 0.11158526854469035, 0.10630600127568449, 0.10006765552673932, 0.09342194315520483, 0.09257792037890326, 0.08875327773921052, 0.09212838702432671, 0.08318545093024947, 0.08745683305401021, 0.08206677964902123, 0.0831269291044837, 0.08059223140502399, 0.07586114689521102, 0.07561289058659917, 0.07677892910507128, 0.07762386660346283, 0.07571887761152239, 0.0724720016145196, 0.07180223810352339, 0.07226358424281092, 0.0675884726921987, 0.0715871605446605, 0.06704805503620732, 0.06854046972970126, 0.06746537323520053, 0.06785842084514447, 0.06679685662903032, 0.06910014023230507, 0.0660181468496554, 0.06936684908395893, 0.06719786029830109, 0.06988099530448122, 0.06678876239176458, 0.0656113957982347, 0.06405629365975213, 0.0674793538724953, 0.0636004809978455, 0.06388325427730795, 0.06316837638865433, 0.06289395784457566, 0.0631268918592024, 0.06318429684449213, 0.06236922985918836, 0.06404021177401996];11948.788699626923;PhysicalDevice(name='/physical_device:GPU:0', device_type='GPU')
LSTM_5;{'num_stack_layers': 2, 'units': 128, 'dropout': 0};24;288;64;50;0.010632269084453583;0.010607036761939526;-1798100096.0;0.010632950812578201;0.010608878917992115;-1789625728.0;[0.10955606011485199, 0.0841602814435166, 0.07301463660192414, 0.08017209404383838, 0.10563446476656062, 0.07309246405096004, 0.06978664354774076, 0.08245836815980366, 0.07470129724580797, 0.09235507131216927, 0.1018314254759734, 0.07639542289071091, 0.06888966756470323, 0.0670878832934864, 0.06301812652351868, 0.06047979948630133, 0.05919483753311401, 0.057671683839742964, 0.05654491620774117, 0.05473406645355073, 0.05371275630359079, 0.0528289787527539, 0.05240547624353089, 0.05144966343487347, 0.05049403935970013, 0.05003811859313892, 0.04960226637014837, 0.04868162008916717, 0.04832924167827345, 0.0476355682488834, 0.04726266330300532, 0.04686431122537772, 0.04623283219429461, 0.045747144812784885, 0.045452650164360245, 0.044833149700095797, 0.04427624452693698, 0.04404681244015273, 0.04342199059163858, 0.04350275297910495, 0.042972341741867724, 0.04263012950545133, 0.042012260436514334, 0.041694931068921665, 0.04142057516296896, 0.04124542681834629, 0.04122028984175793, 0.04105522578459684, 0.04029499285983058, 0.03983041404344039];[0.19745161788192803, 0.18903567313214195, 0.19856325949568973, 0.29295374456180295, 0.1942151489713796, 0.17484023541834584, 0.17716426522551254, 0.19129595713150097, 0.17556169122535317, 0.19024229992385322, 0.19721029247923247, 0.1797524644718469, 0.16931604922167937, 0.1664805759415614, 0.15246759961619388, 0.1363519479882935, 0.1389741937773346, 0.12991319891678135, 0.1192192089250287, 0.10382898413520257, 0.0987703672004742, 0.09867893309957365, 0.09323832745573851, 0.09607185124961888, 0.09400835454502865, 0.09021121183551323, 0.08914219763509287, 0.09121596816314419, 0.09063332402208144, 0.08927403303840764, 0.08068396248526424, 0.08103270778923682, 0.07912648598184474, 0.07639881943209054, 0.07751837786160623, 0.07435413078057238, 0.07377922811761849, 0.07278110403421653, 0.07282195689628392, 0.07045625982606692, 0.07065789952835277, 0.07208489810089841, 0.07104949369326273, 0.06984850818159997, 0.07217622524608831, 0.06837939421206168, 0.06674135625362396, 0.06624144446639728, 0.0669187129574874, 0.0660030099162078];6305.94099855423;PhysicalDevice(name='/physical_device:GPU:0', device_type='GPU')
TCN_1216;{'nb_filters': 128, 'kernel_size': 6, 'nb_stacks': 2, 'dilations': [1, 3, 6, 12, 24], 'dropout_rate': 0};24;288;128;50;0.010383392684161663;0.010300599038600922;-2023419264.0;0.010387404821813107;0.010306070558726788;-2013883008.0;[0.8490321609895128, 0.10284700953723644, 0.08209951880168476, 0.07232386500918406, 0.06849408182321323, 0.06568599104848756, 0.05963154943588874, 0.057509962411118644, 0.05557644172091943, 0.054236174738234694, 0.05366614136828988, 0.05259980688798205, 0.05175167977601041, 0.051122083618297204, 0.05040553254472386, 0.04991833982879021, 0.04960756656839327, 0.04868068074424796, 0.048327043472460675, 0.048010306589970755, 0.04749215824828879, 0.04729527646458594, 0.046617592942482904, 0.04611943814627367, 0.045894029253788486, 0.04551696651859087, 0.045268134732904725, 0.044376685177946906, 0.04416372088922057, 0.04364786496600612, 0.043624323383428185, 0.043298559517444796, 0.042936150243687986, 0.042472051875661034, 0.04228352560808368, 0.04227408866767597, 0.04135490649665022, 0.041236971779030324, 0.04095273821336899, 0.04102158831153177, 0.04039503573459872, 0.039933836233721556, 0.03966562368071935, 0.039374540988428464, 0.03896053258354788, 0.03863615539079453, 0.03840713843087924, 0.038493872760696955, 0.038089270699166, 0.03768588302043372];[0.1710366508979399, 0.14294791214226432, 0.11922960951340728, 0.11288329354309849, 0.1097293212893115, 0.10789459944549491, 0.10986048713443174, 0.10310100223236855, 0.09477727197635889, 0.09321139153705876, 0.08963835142922463, 0.08705459559632966, 0.08120508468649094, 0.08368267727427321, 0.08322011248327733, 0.0816819493670999, 0.08159676156451745, 0.07628314509092983, 0.07222890721989052, 0.07738554280825134, 0.07351190308133242, 0.07215011715110849, 0.06973123397512784, 0.0681752988198096, 0.0698339343265516, 0.06962282984437271, 0.0693014261052596, 0.06895455045348359, 0.06946355976144888, 0.06678526730862672, 0.06620834668412533, 0.0670073855405688, 0.067291490869796, 0.06519997234872053, 0.0682740828328749, 0.06730215286267022, 0.06678363995787058, 0.06365659428911172, 0.06438630080487648, 0.06291683120142387, 0.06752155399042384, 0.06277893485000488, 0.06574555513675157, 0.0611540583849887, 0.06479720559467224, 0.06373831473738344, 0.06691744174448379, 0.0642372256781974, 0.06401334325965329, 0.06406817445750336];24583.83710217476;PhysicalDevice(name='/physical_device:GPU:0', device_type='GPU')
